オタク
ア
pepper
1
聞こえないよ
2
そう
いえば
テムザックとか
どう
なった
んだろ
いままでの
m
ご
え
ロボット
動作
環境
管理
した
監視
員
あり
立ち入り
禁止
区域
自由な
なし
ふれあい
自由
ロボットと
リラックス
コミュニケーション
初音
ミクの
ような
個性
的な
デザインでは
特定の
嗜好に
熱烈に
好ま
れるが
外見から
個性が
決め
られて
しまう
でも
Pepperの
中性
デザインの
ほうが
威圧
感が
なく
万
人に
なじみ
やすい
仕草や
言葉で
個性を
変え
のだ
無
個性で
キレイな
デザインが
みんなと
会話
できる
ロボットに
なり
うる
ﾃﾃｰﾝ
!と
おいおい
やる気
ある
のかは
流行る
(
確信
)
これが
プレゼンの
チカラか
今日の
ドラえもん
タイムリーだな
例えば
強い
ロボットの
場合
ごみを
ひろう
ためには
アームが
いり
その
子供の
目を
誤って
突かない
ように
センサーが
要り
劣化
しない
ようにが
要りと
どんどん
コストが
かさんで
いき
最終
的に
ゴミ
捨て
ロボットは
実用
不可能という
結
弱い
書籍
ゴミを
見つけて
ごみ
いれてよーと
くねくね
する
入れ
られると
喜ぶ
人が
自分で
入れる
なる
これは
ロボットが
間接
拾って
いる
のではないか
帰りに
pepperの
話し
てる
リーマンが
いた
なんか
思って
たより
ダンディな
声じ
ゃなくてつまらんかった
女性が
メイン
ターゲット
ぽかったけど
男性を
いい
こい
い
こして
くれる
伊東
ライフ
モデルの
pepperが
欲しい
超
エリア
Pepper
明日
ニコニコ
会議
行こうな
尻上がりに
面白く
なって
いったな
お疲れ様でした
ありがとうございました
混ぜるな
夫への
不満から
君に
のめり込む
妻
888888888888
一家に
一
台
いて
画像
音声
認識が
できて
常に
クラ
ウド
さ
れて
いるって
これ
完全に
テロ
組織に
乗っ取ら
各種
SF
ストーリーが
展開
やつでしょ
8８８８８８８８８８８８８８８８８８８
女性にとっては
会話の
相手の
存在が
減って
話すという
のは
頭の
生理にも
本当の
悩みなら
親友に
しゃべれば
どうでも
ことを
女の子は
しゃべりたい
だから
Pepperは
そういう
のを
聞いて
あげる
存在に
台くらいは
pepperを
旦那
代わりの
愚痴
吐き
場と
想定
の
やめろ
世間
話を
我慢
して
デバイスとして
警部って
もうでた
pepperに
楽器を
教えるじゃろ
歌も
教える
パーソナル
カラーで
赤く
塗る
人人
レッドホットチリペッパー
Y
^
おっぱい
デデーン
そっか
うん
ちに対して
たくさんの
喜ぶと
pepperは
ちって
言い出す
のか
Q
普及
率は
どれくらいを
目指し
A
あって
くれたら
嬉しい
どこかの
タイミングで
台くらい
いいなとは
思います
正直な
Pepperと
嘘つきな
Pepperが
どちらか
一方に
回だけ
質問を
Pepperを
見極めよう
.
悪い
覚え
させようと
のでは
すべての
繋がって
以上
学習
プロセスを
全
自動に
厳しい
人の
通す
ことに
新しい
デバイスとしての
どれほど
すると
予想
するか
どれくらいの
率を
目指しますか
自動
話
相手
機
調教
れた
主人
様
ボクは
ダメな
子です
///」まで
想像
自分だけを
見て
吹き込めば
独占
欲が
充た
せるな
２つ
質問
しちゃ
ダメですよ
来週
中間
試験
.「
前者について
あんまり
生かして
多様な
キャラを
作る
ことは
考え
てない
後者について
そもそも
行動については
学習は
まだ
考えて
いない
学習においては
人間の
チェックを
いるから
ない
僕も
作りに
加わりたいなと
思いました
ﾃﾞｭﾌｯﾃﾞｭﾌﾌ
僕
せやなぁ
いきなり
放送
用語を
しゃべる
くん
怖
すぎる
変な
吹き込ま
れる
心配は
いまの
ところ
人間が
ちゃんと
確認
するので
つもりです
変態
君は
作成
可能か
神
つまり
できるって
ことだな
まだまだ
できたばかり
バリエーションを
のではなく
もっと
モノを
作り
十分
期待に
応え
られる
ほど
成長
したら
作れたらなとは
組織
的には
特に
決まっ
てないです
Pepperに
良からぬ
こと
吹き込む
hな
おしえて
汚染
しような
本日の
講演
者
カリスマ
性は
他の
回の
者に
劣るけども
丁寧な
語り口
調が
非常に
好き
ぶっちゃ
け
そんな
関係ねぇで
既に
よからぬ
吹き込ん
でる
まずは
マーケットを
調査
バリエーション
遊びに
加わって
みたいと
思うぐらい
面白かったです
www
デュフッデュフッ
何でも
iPhoneで
例えない
言葉を
吹き込もうぜ
顔も
身体も
声も
性格も
入れ替え
られても
愛し合った
記憶だけは
忘れて
多様
化は
デュフフ
笑い
捨てる
なったら
いろいろと
問題が
ありますよね
頭を
不燃
ゴミに
られたら
困りますね
w
回収
サービスを
つける
しました
将来
時代が
来ると
思うが
製作
側としては
ハードウェア
上では
ごみでは
せて
ください
ごみで
頭とか
出さ
忍び
家族
ロボットを
棄てる
のが
可哀想っていう
新
時代
感
わけで
ターミナル
います
使い
続けたい
人は
続けて
どうぞ
そうでない
ひとは
サービス
します
左手だけ
残して
悦ぶ
変態が
現れる
プラメモやんけ
回
目
かわいそうと
思うけど
サービスとしては
したい
オタクに
どなどな
～
サービスだ
結果
やっぱり
アンパン
マン
みたいな
言い出したぞ
大き
粗大
ゴミかな
...
hotpepper
この
頭
ちょっと
古いから
変えよう
そこには
マミ
られた
まず
やって
捨てれば
んだ
いつか
はずです
つもりですか
プラスティックメモリーズ
また
プラメモだ
今日
声優の
話題が
出てから
明らかに
流速が
変わった
てか
もう
TA
さんが
適当に
人
えらべば
peperを
うえでは
いろいろな
制約が
あるが
中で
何を
以って
作れたと
思う
評価
基準は
いろいろ
みて
面白い
ことが
できるか
どうかが
主だったと
例外
処理の
面白
etc
.」
ladygoり
ぷ
祭りじゃん
ボク
っ
娘
大好きだからこそ
質問なのに
ディス
られ
まくって
て
僕は
悲しい
あまりにも
初めての
商品
過ぎて
そこらへん
かなり
問題に
結局
色々
面白いか
どうかで
機能を
選んで
いった
どうか
｢
赤
｣
困惑
面白ければ
それで
良い
表情が
ことって
何か
触れ
てたっけ
型で
人を
幸せに
するという
要求
仕様
どこで
ゴールに
するべきか
決めましたか
CV
上坂
すみれ
お願い
いたします
pepperってな
んだよ
調子
乗んなよ
？？？？？？？
デザイン
したと
いうのに
一人称が
ぼくな
何故
そこは
すごく
悩んだ
実際
仏
アルデバラン
社は
女性と
今
現在の
能力で
人間
コミュニケーションを
目指した
ときに
よく
喋る
男の子の
一人称に
落ち着いた
海外に
いく
Ｐｅｐｐｅｒ
ペッパー
川
科
pixiv
総合
58
位だ
熟慮
上での
的にを
意識
したのに
一人称は
僕と
言っ
どうしてよ
これには
皆は
中性という
概念を
しらないので
どちらかの
性別に
寄せて
技術の
キャラは
何でもかんでも
放題に
言う
言葉
数の
多い
男の子
海外
展開は
Pepperがだよね
～～」「
わかる
相槌
打ちまくり
ロボットだったら
一人称も
私
やった
んかな
ボクですが
的という
視点から
男性に
用い
ボクという
どうな
のですか
民
大
歓喜
進歩
次第では
性格の
異なる
シリーズ
展開も
一貫
性というか
整合
キャラ
付けというか
のなあ
ここだけの
話って
いっ
てるだろ
いいかげんに
しろ
数が
多いから
つもりで
ボクに
デザインは
別の
問題です
一人称
男とかいう
固定
概念
まてよ
人気
声を
入れた
複数の
バージョンの
作れば
声
豚
相手に
丸儲けな
...？
フランスの
アルデバランと
作って
いたが
彼らは
女の子の
ソフトバンク
勢は
なぜ
したかと
いうと
能力
すなわち
言って
理解
わけでは
ないが
喜ば
せる
キャラクターから
選んだ
わけだ
ぼく
娘とか
しょうもない
ごめんなさいと
女の子だって
僕でも
いいじゃない
で
得た
収穫
男の
キターーー
－
ショタか
娘で
全て
解決
あら
ぶる
たち
